Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An agent's behaviour must be tested repeatably in a suite. What does that require?,multiple-choice,"Tools replaced by fixtures returning fixed results, so the run is deterministic.",,"A dedicated environment, so the agent's actions do not affect production data.",,"A fixed sampling temperature, and so the model produces the same output each time.",,"A recorded transcript, replayed so the same sequence of turns is produced.",,,,,,1,"The largest source of run-to-run variation is what the tools return, since the same query hits a world that has moved. Substituting fixtures pins that. Temperature reduces model variation without addressing it, replaying a transcript tests nothing new, and an isolated environment makes testing safe rather than repeatable.",D1 Agentic Architecture & Orchestration
An agent needs to read production data and must not be able to modify it. What is the structural control?,multiple-choice,"Credentials that carry no write access, rather than tools that omit writes.",,An instruction stating that the agent must not modify any of the data.,,A tool set containing only read operations for the agent to choose from.,,A hook that intercepts and blocks any write the agent attempts to make.,,,,,,1,"Enforcing at the credential means no path through the agent, its tools or an injection can write, because the permission does not exist. A curated tool set and a hook are both good practice and depend on the configuration being complete and staying that way. An instruction constrains nothing.",D1 Agentic Architecture & Orchestration
An agent run reads several records and then writes to one of them. How should the phases be ordered and bounded?,multiple-choice,"Reads and writes interleave, so each write reflects the most recent read.",,"Writes are issued first, then reads confirm that they then took effect correctly.",,"Reads and writes run concurrently, so the run completes in less time.",,"Reads complete first, then a single bounded write phase acts on the conclusion.",,,,,,4,"Separating a read phase from a bounded write phase makes the run's effects reviewable and easy to reason about, and it limits how much of the world the run can disturb if it goes wrong. Interleaving spreads effects through the run, and concurrency between reads and writes introduces races on the agent's own data.",D1 Agentic Architecture & Orchestration
A team must decide how many iterations to allow an agent. What should the ceiling be based on?,multiple-choice,The number the model's context can accommodate before it is genuinely full.,,The maximum number the budget for a single run is able to fund.,,The distribution of iterations that successful runs actually take.,,A round number that is comfortably above what most runs require.,,,,,,3,"The ceiling should sit above where genuine work finishes and below where a stuck run burns budget, which is a measurement rather than a guess. Runs that exceed it are then a signal worth investigating. Setting it by budget or context capacity makes it a hard stop rather than a diagnostic.",D1 Agentic Architecture & Orchestration
An agent's objective as given is open-ended and runs vary widely in what they produce. What is the fix?,multiple-choice,"Add examples of previous runs, so the expected scope is demonstrated.",,"Define what a completed run must contain, so the agent knows when it is done.",,"Reduce the iteration ceiling, so runs simply cannot diverge as far from one another.",,"Raise the model tier, so the objective is interpreted more consistently.",,,,,,2,"An agent with no completion criterion decides for itself when enough has been done, and the answer differs each time. Stating what the output must contain converts the objective into something checkable. Tightening the ceiling truncates runs arbitrarily, and examples demonstrate scope without defining it.",D1 Agentic Architecture & Orchestration
A long-running agent must survive the process being restarted. What determines whether it can resume?,multiple-choice,Whether its progress was written somewhere durable as it was made.,,Whether the tools it called are able to report what has already been done.,,Whether the run's total duration was short enough to simply repeat.,,Whether the model can reconstruct its position from the final output.,,,,,,1,"Resumption requires state externalized as the run proceeds, so a restart continues rather than repeats. Repeating a short run is a workaround rather than resumption. Reconstructing position from partial output is unreliable, and asking tools what happened only works where every action left an inspectable trace.",D1 Agentic Architecture & Orchestration
Two tenants' agent runs execute in the same deployment. What must be guaranteed?,multiple-choice,Neither run's results are cached where the other could retrieve them.,,"Neither run can read the other's context, storage or tool results.",,Neither run's failure can cause the other run to fail as well.,,Neither run can consume more than half of the available capacity.,,,,,,2,"Isolation of data is the non-negotiable property in a shared deployment, covering conversation state, any working files and anything retained between runs. Capacity fairness and failure independence are important operational qualities, and caching is one specific channel within the broader isolation requirement.",D1 Agentic Architecture & Orchestration
A coordinator could reuse a subagent's findings from an earlier run. What must be established first?,multiple-choice,Whether the earlier run completed successfully in its entirety.,,Whether the findings are large enough to justify the reuse.,,Whether the earlier run used the same model version as this one.,,Whether the findings are still current for the question being asked.,,,,,,4,"Reuse saves real cost and turns on whether the underlying material has moved, which is a question about the domain rather than about the run. Completion is a precondition that is easy to check. Model version affects how findings were expressed rather than whether they remain true.",D1 Agentic Architecture & Orchestration
An agent must explain to a user why it took a particular action. What supports that?,multiple-choice,"The model's account of its reasoning, requested some time after the action was taken.",,"A summary of the run, generated once the run has finished executing.",,"The evidence it acted on, captured at the time and surfaced with the action.",,"The full transcript of the run, made available for the user to read.",,,,,,3,"An explanation the user can act on rests on what the agent actually observed: the record it read, the value it found, the rule it matched. Retrospective narration is generated text that may rationalize rather than report. Transcripts and summaries are for operators rather than for explaining a decision to the person it affected.",D1 Agentic Architecture & Orchestration
A run failed close to completion. What determines whether it should be resumed or started again?,multiple-choice,Whether the failure occurred in a step that had side effects on other systems.,,"Whether its intermediate state is trustworthy, not merely whether it was saved.",,Whether the cost of the completed portion exceeds the cost of repeating it.,,Whether the inputs the run started from are still available to be supplied again.,,,,,,2,"Saved state is only useful if it is known to be sound; a run that failed because an earlier step produced something wrong will carry that forward into a resumption. Establishing which steps can be trusted is the decision. Cost favours resuming and does not establish it is safe, and input availability is a precondition for restarting.",D1 Agentic Architecture & Orchestration
