Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A freight brokerage's agent loop terminates when the assistant's text contains the phrase 'task complete'. It occasionally stops with tools still pending, and occasionally runs on after finishing. What is the correct termination condition?",multiple-choice,"Branch on stop_reason: continue while it reports tool use, and terminate when it reports end of turn.",,Terminate when a full iteration has passed without the assistant requesting any further tool invocation.,,Count the tool calls made so far and terminate once the count matches the plan the model produced.,,Terminate when the assistant's response contains a text block rather than only structured blocks.,,,,,,1,"Loop control belongs on stop_reason, which is the field the API provides for exactly this purpose. Parsing natural language for a completion signal is the named anti-pattern: the phrase can appear mid-reasoning or never appear at all. Counting calls against a self-reported plan inherits the same unreliability, and a text block frequently accompanies a tool request.",D1 Agentic Architecture & Orchestration
"A municipal utility's agent executes each requested tool and sends the results back as a fresh user message, discarding the assistant turn that requested them. The next request is rejected. What is missing?",multiple-choice,The results have to be preceded by a fresh restatement of the task for the model to interpret.,,"The results have to be sent as a system message, since they did not originate with the user.",,"The assistant turn has to be appended before the results, so each result can reference its request.",,The results have to be merged back into the original user message that first started the conversation.,,,,,,3,"Tool results are appended to conversation history so the model can reason about the next action, and each result is bound to the request that produced it. Dropping the assistant turn removes the request being answered, leaving a result that refers to nothing. The conversation must reflect what actually happened, in order.",D1 Agentic Architecture & Orchestration
An architecture practice is designing a coordinator over four research subagents. The proposal routes every query through all four in a fixed sequence. What should an architect change?,multiple-choice,Have the coordinator analyze each query and invoke only the subagents that query actually requires.,,"Have the coordinator run all four concurrently rather than in sequence, to recover the wall-clock cost.",,"Have the coordinator merge the four subagents into one, since a fixed sequence needs no delegation.",,Have the coordinator retry any subagent that returns an empty result before moving to the next one.,,,,,,1,"The coordinator's role includes deciding which subagents to invoke based on the complexity of the query, not merely dispatching to a fixed pipeline. Always running the full set spends tokens and latency on subagents that contribute nothing to a given query. Parallelizing an unnecessary call makes it faster without making it necessary.",D1 Agentic Architecture & Orchestration
"A coordinator decomposed 'the effect of automation on regional employment' into three subtasks, all concerning manufacturing. Each subagent performed its assignment correctly, and the final report omitted services, agriculture and logistics entirely. Where is the defect?",multiple-choice,"In the synthesis subagent, which failed to notice that whole sectors were missing from its inputs.",,"In the analysis subagent, whose relevance filtering discarded the non-manufacturing sources.",,"In the search subagent, whose queries were too narrow to surface the other sectors involved.",,"In the coordinator's decomposition, which produced assignments that did not span the topic.",,,,,,4,"Every subagent executed its assigned task correctly, so the failure is in what they were assigned. Overly narrow decomposition by the coordinator is a named risk precisely because the symptom appears downstream and invites blaming agents that are working as instructed. The fix belongs at the point where scope is partitioned.",D1 Agentic Architecture & Orchestration
A coordinator spawns subagents but they consistently behave as though they know nothing about the conversation so far. The coordinator's own history is extensive. What explains it?,multiple-choice,"Subagents do not inherit the parent's history, so any context they need must be in their prompt.",,Subagents inherit history only when the parent marks it shareable before the delegation occurs.,,Subagents inherit history but discard it whenever their own system prompt is supplied as well.,,"Subagents inherit history only within a single turn, and lose it once the parent turn concludes.",,,,,,1,"Subagents operate with isolated context and do not automatically inherit the coordinator's conversation history or share memory between invocations. Anything they need has to be passed explicitly in the prompt, including complete findings from prior agents rather than a reference to them. This is a design obligation, not a bug to be worked around.",D1 Agentic Architecture & Orchestration
"A coordinator is configured with tools for search and file access, and every attempt to delegate work fails silently. What is the most likely configuration error?",multiple-choice,"Its subagent definitions omit system prompts, so the spawned agents terminate immediately.",,"Its subagent definitions declare tool restrictions, which blocks delegation until they are removed.",,"Its allowed tools include too many entries, so the delegation tool is crowded out of selection.",,"Its allowed tools do not include the delegation tool, so it cannot spawn subagents at all.",,,,,,4,"Spawning a subagent happens through a specific tool, and the coordinator can only invoke it if that tool is present in its allowed set. Without it the coordinator has no delegation capability, which is why the attempts go nowhere. Tool restrictions on the subagents themselves govern what those agents may do once running.",D1 Agentic Architecture & Orchestration
"A research coordinator issues one delegation, waits for the result, then issues the next, across four independent subtasks. Wall-clock time is the binding constraint. What should change?",multiple-choice,Move the four subtasks to a batch submission so they are processed together at a lower rate.,,Merge the four subtasks into a single subagent prompt so that one delegation covers all of them.,,Reduce each subagent's reasoning effort so that the four sequential calls each complete more quickly.,,Emit all four delegation calls within a single coordinator response so the subagents run together.,,,,,,4,"Parallel subagents are spawned by emitting multiple delegation calls in a single response rather than across separate turns. Splitting them across turns serializes work that has no dependency between its parts. Merging into one subagent removes the isolation that motivated the split, and batching addresses cost for latency-tolerant work rather than wall-clock for a waiting caller.",D1 Agentic Architecture & Orchestration
A coordinator's prompt specifies the exact sequence of searches each subagent should run and in what order. Subagents perform poorly on queries the author did not anticipate. What is the architectural correction?,multiple-choice,"Specify the research goal and the quality criteria, and let each subagent adapt its own approach.",,Specify a fallback sequence that the subagent uses whenever the primary sequence returns nothing.,,Specify the sequence in each subagent's own definition rather than in the coordinator's prompt.,,Specify a longer sequence of searches so that more anticipated query shapes are covered by it.,,,,,,1,"Coordinator prompts should carry research goals and quality criteria rather than step-by-step procedural instructions, because prescribing the procedure caps each subagent's usefulness at whatever the author could foresee. Extending or duplicating the procedure preserves the same ceiling; relocating it changes nothing about its rigidity.",D1 Agentic Architecture & Orchestration
"A customer's message raises three separate problems in one paragraph: a damaged item, a duplicate charge, and a delivery address that is wrong. The agent addresses the first and treats the message as handled. What does the architect specify?",multiple-choice,"Ask the customer to resubmit each problem separately, so every case can be tracked on its own thread.",,Handle the first problem now and open separate follow-up tickets for the remaining two to be picked up later.,,"Decompose the message into distinct items, investigate each against shared context, then synthesize one reply.",,"Escalate the whole message to a human, since a multi-part request exceeds what an agent should attempt.",,,,,,3,"Multi-concern requests are decomposed into distinct items, investigated in parallel against shared context, and resolved into a single unified response. Asking the customer to split their own message pushes the work onto them, deferring parts of it leaves the person waiting on issues they already raised, and escalating wholesale forgoes resolution the agent is capable of.",D1 Agentic Architecture & Orchestration
"Mid-conversation, an agent must escalate a partly-investigated case to a human who cannot see the transcript. What must the handoff carry beyond the customer's request?",multiple-choice,"The agent's confidence in its own analysis, so the reviewer knows how far they should trust it.",,"The full verbatim transcript, so the reviewer can reconstruct the reasoning independently.",,"The identifiers, the root cause established so far, and the recommended action to take next.",,"The list of tools invoked, so the reviewer can repeat them and confirm the same results.",,,,,,3,"A structured handoff exists so someone without the conversation can act immediately: who the customer is, what was found, and what is recommended. A raw transcript transfers the work of reading rather than the conclusion of it, self-reported confidence is not a reliable signal, and a tool list describes activity rather than findings.",D1 Agentic Architecture & Orchestration
