Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A tool description reads 'Searches the knowledge base.' Selection is unreliable whenever a similar tool is present. Beyond stating when to call it, what else should the description carry?",multiple-choice,"The input formats it accepts, example queries, edge cases, and its boundary against similar tools.",,"The list of other tools it should not be confused with, named explicitly within the description.",,"The average latency and cost of a call, so the model can weigh it against the alternatives.",,"The implementation details of the backing service, so the model understands what it is really querying.",,,,,,1,"Descriptions should include input formats, example queries, edge cases and explicit boundary explanations, which together give the model what it needs to choose correctly among similar tools. Implementation details and performance figures do not inform selection, and naming every sibling tool scales badly and still omits the positive statement of what this tool is for.",D2 Tool Design & MCP Integration
"A tool receives a malformed identifier and returns a failure the agent treats as transient, retrying it four times unchanged. What category should that failure carry?",multiple-choice,"A business error, since the request was understood and declined on the basis of its content.",,"A validation error, since the input was wrong and an unchanged retry reproduces the same failure.",,"A transient error, since a malformed identifier may well become valid once upstream data settles.",,"A permission error, since the caller supplied an identifier it was not entitled to look up.",,,,,,2,"Validation errors describe invalid input, and the distinguishing property is that retrying unchanged cannot succeed. Marking it transient invites exactly the wasted retries observed. A business error is a policy decision on a well-formed request, and a permission error concerns entitlement rather than the shape of the input.",D2 Tool Design & MCP Integration
An agent is given a general URL-fetching tool and begins retrieving pages well outside the document set it was meant to work with. What is the targeted fix?,multiple-choice,Add a post-fetch check that discards any page that came from outside the permitted set.,,Replace it with a constrained tool that validates the URL belongs to the permitted document set.,,Add a system prompt rule listing the domains from which the agent is permitted to fetch.,,Remove the tool entirely and have the coordinator supply the documents within the initial prompt.,,,,,,2,"Replacing a generic tool with a constrained alternative that validates its input is the documented pattern, and it makes the restriction a property of the capability rather than a request. A prompt rule is guidance, a post-fetch check has already spent the request and may have leaked the fact of it, and removing the tool forfeits capability the task needs.",D2 Tool Design & MCP Integration
"A synthesis agent needs simple fact checks constantly, and routing each one through the coordinator adds several round trips per task. What is the proportionate design?",multiple-choice,"The full search tool set for the synthesis agent, so it can handle any verification directly.",,A batch of all the verification needs returned to the coordinator at the end of the synthesis pass.,,A cache of previously verified facts the synthesis agent consults before asking for anything.,,"A narrow verification tool scoped to the synthesis agent, with complex cases still routed centrally.",,,,,,4,"Scoped cross-role tools exist for high-frequency needs: give the synthesis agent a narrow verification tool for the common case while complex verification still routes through the coordinator. Handing it the full search set over-provisions and invites the misuse that scoping prevents, and batching creates blocking dependencies when later synthesis depends on earlier facts.",D2 Tool Design & MCP Integration
"An architect needs to guarantee the model returns a tool call rather than conversational prose, without dictating which of several extraction schemas it uses. Which setting fits?",multiple-choice,"Tool choice set to auto, which is the default and lets the model decide freely for itself.",,"Tool choice set to any, which requires a call while leaving the selection to the model.",,"Tool choice set to none, with the schemas described inside the system prompt instead.",,"Tool choice forced to a named tool, applied to whichever schema seems most likely to fit.",,,,,,2,"Setting tool choice to any guarantees the model calls a tool rather than returning conversational text, while leaving which tool open, which is exactly right when several extraction schemas exist and the document type is unknown. Auto permits a text reply, forcing a name removes the selection, and none forbids tool use altogether.",D2 Tool Design & MCP Integration
An engineer wants to try an experimental MCP server without affecting teammates or the repository. Where does it go?,multiple-choice,User-scoped configuration copied into the project directory so colleagues can try it too.,,Project-scoped configuration with a comment marking it as experimental until it is proven out.,,"Project-scoped configuration on a feature branch, merged once the experiment has concluded.",,"User-scoped configuration, which is personal to that machine and not shared through the repo.",,,,,,4,"User-scoped configuration is the documented home for personal and experimental servers, precisely because it does not reach teammates through version control. Anything project-scoped is shared the moment it is committed, whatever comment accompanies it, and a branch still puts it in the repository's history.",D2 Tool Design & MCP Integration
A team adds a second MCP server and asks whether they must switch between servers depending on the task. What is true?,multiple-choice,"Only one server is active per session, so the relevant one is selected when the session starts.",,Tools from every configured server are discovered at connection and available simultaneously.,,"Servers are activated per request, so each call names which server its tools should come from.",,"Servers are ordered, and the first one holding a matching tool name resolves that invocation.",,,,,,2,"Tools from all configured MCP servers are discovered at connection time and are available to the agent simultaneously, so no switching is involved. The practical consequence is that server count contributes to total tool count, which is where selection reliability starts to degrade if the combined surface grows large.",D2 Tool Design & MCP Integration
"A subagent's source times out transiently, and it immediately propagates a failure to the coordinator, discarding the three sources it had already gathered. What should it do?",multiple-choice,"Recover locally where it can, propagating only what it cannot resolve, along with partial results.",,"Return success with the three sources it did reach, noting the fourth within its prose summary.",,"Retry indefinitely until the source responds, since the coordinator cannot recover it either.",,"Propagate every failure straight away, so the coordinator holds a complete picture of all the errors.",,,,,,1,"Subagents implement local recovery for transient failures and propagate only errors they cannot resolve, including partial results and what was attempted. Discarding gathered work wastes it, propagating everything defeats local recovery, and reporting success with a caveat buried in prose is how a gap becomes invisible to the coordinator.",D2 Tool Design & MCP Integration
A tool declines a request on policy grounds and the agent relays a bare failure to the customer. What should the response carry alongside the non-retryable flag?,multiple-choice,"The internal policy identifier, so the customer is able to reference it if they choose to dispute it.",,"A suggested alternative action, chosen by the tool from the options its policy permits.",,"The threshold that was breached, so the customer understands precisely how close they were.",,"A customer-friendly explanation, so the agent can communicate the reason rather than just failing.",,,,,,4,"Business rule violations should carry a non-retryable flag together with a customer-friendly explanation, so the agent can communicate appropriately instead of surfacing an opaque failure. Internal identifiers and exact thresholds expose implementation detail, and choosing an alternative is a decision that belongs to the agent's reasoning rather than to the tool's error path.",D2 Tool Design & MCP Integration
A team is choosing between building an MCP server for a widely used issue tracker and adopting an existing one. What is the guidance?,multiple-choice,"Build the custom server, since a bespoke integration matches their process more precisely.",,"Build the custom server, since community servers cannot be scoped to a single project.",,Avoid MCP here and call the tracker's API directly from within their own orchestration code.,,"Adopt the existing community server, reserving custom builds for team-specific workflows.",,,,,,4,"Choosing existing community servers for standard integrations avoids rebuilding and maintaining what already exists, and custom servers are reserved for workflows genuinely specific to the team. Community servers configure at any scope, and bypassing MCP forfeits the interoperability that motivated adopting it.",D2 Tool Design & MCP Integration
