Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A convention applies only to one service directory and nowhere else in a large monorepo. Which layer fits?,multiple-choice,"A directory-level configuration file in that service's own subtree, scoped to where it applies.",,"A project-level file at the repository root, carrying a heading that names the service it concerns.",,A user-level file on the machines of the engineers who work on that service most often.,,A skill the engineers invoke whenever they begin working inside that service directory.,,,,,,1,"A convention genuinely belonging to one area of the codebase is what directory-level configuration is for, and it loads when work happens in that subtree. Putting it at the root loads it for every unrelated session, user-level configuration is not shared and depends on who happens to be working, and a skill requires deliberate invocation for something that should be automatic.",D3 Claude Code Configuration & Workflows
"A regulated team needs a guarantee that a particular command never runs unattended, whatever any session's instructions say. Which configuration layer holds it?",multiple-choice,"Project memory, which is version-controlled and is therefore reviewable by the whole of the team.",,"A skill carrying the restriction, invoked at the start of any session touching that command.",,"An enforced layer such as a permission rule or hook, which the harness applies rather than reads.",,"A slash command wrapping the operation, so the restriction travels with how it is invoked.",,,,,,3,"Configuration layers divide into advisory and enforced. Project memory, skills, slash commands and session prompts are all read and weighed by the model; permission rules and hooks are executed by the harness and cannot be reasoned around. Anything phrased as must never belongs in an enforced layer, and being reviewable is not the same as being binding.",D3 Claude Code Configuration & Workflows
A team must decide between packaging a set of standards as a skill and putting them in project memory. What decides it?,multiple-choice,"Whether they are needed on every turn or only for particular tasks, since memory is always loaded.",,"Whether they apply to code or to process, since memory carries code conventions specifically.",,"Whether they run longer than a page, since memory is intended for concise reference material only.",,"Whether they change often, since a skill is easier to update than the project configuration.",,,,,,1,"The choice is between on-demand invocation for task-specific workflows and always-loaded universal standards. Anything every session needs belongs in project memory; anything relevant only to particular tasks belongs in a skill, so unrelated sessions do not pay for it. Length, update frequency and subject matter are not the deciding property.",D3 Claude Code Configuration & Workflows
A library migration will touch more than forty files and there are two viable integration approaches with different infrastructure implications. Which mode?,multiple-choice,"Direct execution, since a migration is mechanical once the target library has been chosen.",,"Direct execution, beginning with the approach that appears simpler and adjusting as needed.",,"Plan mode for the first few files, then direct execution once the pattern is established.",,"Plan mode, to explore the codebase and choose between the approaches before committing.",,,,,,4,"Plan mode is for large-scale change, multiple valid approaches and architectural decisions, and a forty-file migration with two integration options carries all three. Beginning directly risks costly rework when the infrastructure implications surface, and treating a migration as mechanical assumes the choice between approaches has already been made.",D3 Claude Code Configuration & Workflows
Generated tests keep duplicating scenarios the existing suite already covers. What should be supplied to the generation step?,multiple-choice,"A lower effort setting, so generation produces fewer tests and therefore fewer duplicates.",,"The existing test files in context, so generation can see what is already covered.",,A stricter instruction not to duplicate anything the existing test suite already covers.,,"A coverage report, so generation targets the lines that no current test exercises.",,,,,,2,"Providing existing test files in context is what lets test generation avoid suggesting scenarios already covered, because the model can only avoid duplicating what it can see. An instruction cannot help without that visibility, a coverage report indicates untested lines without describing what existing tests assert, and producing fewer tests reduces value along with duplication.",D3 Claude Code Configuration & Workflows
An engineer wants a personal variation of a shared team skill without changing behaviour for anyone else. What is correct?,multiple-choice,Create a personal variant under a different name in their own user-scoped directory.,,Fork the repository and maintain the modified version on a long-lived personal branch.,,"Edit the shared skill, adding a condition that applies the variation only for that engineer.",,Copy the shared skill into the project directory under the same name so that it shadows it.,,,,,,1,"Personal customization is done by creating a variant in the user-scoped skills directory under a different name, which keeps teammates unaffected and avoids a name collision. Editing the shared skill changes it for everyone, shadowing by name is fragile and confusing, and a long-lived fork is disproportionate to a personal preference.",D3 Claude Code Configuration & Workflows
A command should be available to every developer as soon as they pull the repository. Where does it belong?,multiple-choice,"A dedicated configuration file listing commands, referenced from the project configuration.",,"The project commands directory, which version control distributes to everyone automatically.",,"The user commands directory on each machine, set up individually as engineers join the team.",,"The project configuration file, with the command's text included as a named section within it.",,,,,,2,"Project-scoped commands live in the project commands directory, are version-controlled, and become available to every developer on clone or pull. The user directory is for personal commands that are not shared, project configuration carries context rather than command definitions, and a separate command registry is not a mechanism that exists.",D3 Claude Code Configuration & Workflows
A test suite is written first and the team wants to iterate towards an implementation that passes it. What is the productive loop?,multiple-choice,"Describe the intended behaviour in prose, refining the description as tests continue failing.",,"Share the failing test output, iterating on the failures until the suite passes.",,"Generate an implementation per test in isolation, then merge them into one final module.",,"Ask for a complete implementation, then hand-correct whatever the suite reports as broken.",,,,,,2,"Test-driven iteration means writing the suite covering expected behaviour, edge cases and performance requirements first, then iterating by sharing the test failures. The failures are concrete and specific in a way prose is not. Per-test implementations merged afterwards produce code with no coherent internal structure.",D3 Claude Code Configuration & Workflows
An architect is working in an unfamiliar domain and wants considerations surfaced that they may not have anticipated. Which technique fits?,multiple-choice,"The interview pattern, having Claude ask questions before anything is implemented.",,"A prototype built quickly, with the gaps discovered by observing where it breaks.",,"A longer specification, written up front to cover as many cases as can be foreseen.",,"A review pass after implementation, checking the result against the original intent.",,,,,,1,"The interview pattern has Claude ask questions to surface considerations the developer may not have anticipated, before implementing — which is exactly the situation in an unfamiliar domain. A longer specification can only cover what the author already thought of, and discovering gaps by prototyping or reviewing finds them after the design has been committed.",D3 Claude Code Configuration & Workflows
Three reported issues interact: fixing one changes the correct fix for the others. How should they be raised?,multiple-choice,"In a single detailed message covering all three, since the fixes depend on one another.",,"In three parallel sessions, so each issue receives dedicated attention independently.",,"Sequentially, one at a time, confirming each fix before the next issue is even introduced.",,"In order of severity, with the most consequential issue addressed first on its own.",,,,,,1,"Multiple interacting issues are addressed in a single detailed message, because a fix chosen for one in isolation may be wrong once the others are known. Sequential iteration is right for independent problems. Parallel sessions guarantee three fixes made without knowledge of one another, which is the failure mode being avoided.",D3 Claude Code Configuration & Workflows
