Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A review reports every deviation from house style alongside genuine defects, and developers want the noise gone without losing real findings. What should the criteria specify?",multiple-choice,"A maximum number of findings per file, so only the most significant issues are ever surfaced.",,"A severity floor, so that any finding below a nominated severity level is never reported at all.",,"Which issue classes to report, such as bugs and security, and which to skip, such as minor style.",,"A minimum confidence for each finding, filtering out anything below the chosen threshold.",,,,,,3,"Writing specific review criteria that define which issues to report and which to skip is what changes behaviour, rather than relying on confidence-based filtering. A count limit discards real findings once the quota is reached, and both confidence and severity floors rest on the model's own estimate of a boundary it was never given.",D4 Prompt Engineering & Structured Output
"Findings arrive in a different shape each run, making automated posting unreliable. What produces consistent formatting?",multiple-choice,"Few-shot examples showing the exact output format: location, issue, severity, suggested fix.",,"A lower temperature, so that the formatting varies less between one run and the next.",,A post-processing step that reshapes whatever the model returns into the wanted format.,,A longer instruction describing all four fields and the order in which they ought to appear.,,,,,,1,"Few-shot examples demonstrating the specific desired output format are what achieve consistency when instructions alone have not. Instructions describe the format while examples exhibit it, which is a materially different signal. Lower temperature reduces variety without imposing structure, and reshaping afterwards is fragile against outputs the reshaper did not anticipate.",D4 Prompt Engineering & Structured Output
A review flags an established pattern used deliberately throughout the codebase as though it were a defect. What reduces this without suppressing genuine issues?,multiple-choice,An instruction to consider whether a given pattern appears frequently before reporting it as a defect.,,"Few-shot examples contrasting acceptable patterns against genuine issues, enabling generalization.",,An explicit list of every pattern in the codebase that the reviewer should treat as acceptable.,,A rule that patterns appearing more than a set number of times are never reported as issues.,,,,,,2,"Few-shot examples distinguishing acceptable code patterns from genuine issues reduce false positives while enabling generalization to patterns nobody enumerated. An exhaustive list only covers what was listed and needs maintaining forever, and frequency is a proxy that would suppress a defect replicated throughout a codebase.",D4 Prompt Engineering & Structured Output
"Source documents express the same date in several formats, and downstream storage requires one. Where does the normalization belong?",multiple-choice,In format normalization rules stated in the prompt alongside the strict output schema.,,In a post-processing step that rewrites each of the extracted dates before it is persisted.,,"In the schema itself, by declaring a date format the enforcement layer will apply.",,In a pre-processing step that rewrites the documents before extraction takes place.,,,,,,1,"Including format normalization rules in the prompt alongside a strict output schema is the documented approach to inconsistent source formatting, because the schema constrains shape rather than the reading. Post-processing has to re-parse ambiguous formats the model already resolved correctly, and rewriting source documents alters the record being extracted from.",D4 Prompt Engineering & Structured Output
"An extraction is schema-valid but its line items do not sum to the total it reports, and nothing catches it. What should the contract add?",multiple-choice,"A confidence score on the total, so low-confidence records can be routed for human review.",,"A retry whenever the total looks unusual, so the model has a second attempt at the record.",,"A calculated total alongside the stated total, so a discrepancy between them is visible.",,"A stricter schema, so that the sum relationship is enforced when the output is generated.",,,,,,3,"Extracting a calculated total alongside the stated total is a self-correction validation flow: the discrepancy becomes a checkable property of the record rather than something a human has to notice. Schemas do not enforce cross-field arithmetic, and a confidence score reports the model's impression rather than the arithmetic fact.",D4 Prompt Engineering & Structured Output
"Source documents sometimes contradict themselves, and the pipeline currently picks whichever value appears first. What should the schema carry?",multiple-choice,A free-text note field in which the model may describe any inconsistency that it has encountered.,,"Two value fields, so both readings are stored and a consumer can choose between them later.",,A precedence rule listing which section of a document takes priority when values disagree.,,"A conflict-detected boolean, so inconsistent source data is surfaced rather than silently resolved.",,,,,,4,"Adding a conflict-detected boolean for inconsistent source data makes the disagreement a first-class, queryable property rather than an invisible arbitrary choice. A precedence rule invents an ordering the documents do not have, a free-text note does not aggregate or alarm, and duplicate value fields defer the decision without flagging that one is needed.",D4 Prompt Engineering & Structured Output
"An extraction schema forces a category choice on documents that are genuinely ambiguous, and the classifications are unreliable. What should be added?",multiple-choice,"A confidence score per classification, so ambiguous records can be identified afterwards.",,"An unclear value in the enumeration, so ambiguity has a legitimate representation.",,"A more capable tier, since ambiguity resolution improves with reasoning capability.",,"A second classification pass, keeping only the records where both passes concur.",,,,,,2,"Adding enum values such as unclear for ambiguous cases gives the model a legitimate way to represent what it actually found, in the same family as nullable fields and an other-plus-detail pattern. A confidence score describes the model's impression rather than the document's ambiguity, and repeated passes produce agreement on an unanswerable question.",D4 Prompt Engineering & Structured Output
A team wants to move a nightly job to batch processing and needs a tool called partway through each request. What should an architect flag?,multiple-choice,"Batch requests do not support multi-turn tool calling, so mid-request execution is not available.",,"Batch requests support tools but not schemas, so the structured output would have to change.",,"Batch requests do support tools but bill them separately, which erodes the cost saving involved.",,Batch requests support tools only when every call is declared before the batch is submitted.,,,,,,1,"The batch API does not support multi-turn tool calling within a single request, meaning it cannot execute a tool mid-request and return the result for the model to continue from. That is a structural limitation rather than a configuration detail, and a workload requiring an in-request tool loop has to stay synchronous or be restructured.",D4 Prompt Engineering & Structured Output
"A batch of documents completes with several hundred failures, some of which exceeded a size limit. What is the correct handling?",multiple-choice,"Resubmit the entire batch, since partial resubmission cannot be correlated back reliably.",,"Resubmit the failures unchanged, since the size limits apply to the batch rather than each item.",,"Discard the failures and report the run as complete, since the great majority succeeded.",,"Resubmit only the failed items by their correlation ids, chunking the ones that were oversized.",,,,,,4,"Batch failures are identified by their correlation ids and resubmitted individually with whatever modification the failure requires, such as chunking a document that exceeded a limit. Resubmitting everything pays again for completed work, discarding failures erodes coverage silently, and resubmitting an oversized item unchanged reproduces the same failure.",D4 Prompt Engineering & Structured Output
"A commitment promises results within thirty hours, and batch processing has a twenty-four hour worst case. What submission cadence meets it?",multiple-choice,"Submitting continuously as work arrives, since smaller batches complete proportionally faster.",,"Submitting once daily, since the twenty-four hour maximum already fits inside thirty hours.",,"Submitting on roughly four-hour windows, so the worst case still lands inside the commitment.",,"Submitting twice daily, which halves the average wait and comfortably meets the commitment.",,,,,,3,"Batch submission frequency is calculated from the SLA: with a twenty-four hour worst case, work arriving just after a submission waits for the next window plus the processing time. Four-hour windows keep that total inside thirty hours. A daily cadence means work arriving just after submission can wait nearly forty-eight hours, and averages do not satisfy a commitment.",D4 Prompt Engineering & Structured Output
