Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
The Messages API retains nothing between calls. What does that require of the agentic loop?,multiple-choice,Every prior turn is retained by the provider and replayed automatically whenever the session identifier is supplied.,,"Every prior turn is resent, while tool results are referenced by the identifier they were issued under.",,"Every prior turn and every tool result must be resent on each request, since nothing is retained.",,Every prior turn is summarized by the provider and the condensed form is supplied in place of the original text.,,,,,,3,"Statelessness means the conversation exists only in what the caller sends. The loop rebuilds the full array of turns on every iteration, including each assistant turn and each tool result, because nothing is held server-side. There is no session identifier that replays history and no provider-side summarization step.",D1 Agentic Architecture & Orchestration
An assistant turn contains a tool_use block and the following user turn omits its matching tool_result. What happens?,multiple-choice,"The model proceeds without that result, treating the tool as having returned nothing at all.",,"The request is rejected, since every tool_use block must be answered by a matching tool_result.",,"The model reissues the same tool call on the next iteration, since it never received a response.",,The result is inferred from the tool's declared output schema and the conversation continues normally.,,,,,,2,"The protocol requires a one-to-one correspondence: each tool_use identifier in an assistant turn must be answered by a tool_result carrying the same identifier in the next user turn. An unanswered call is a malformed request rather than a recoverable state, which is why loops that drop failed tool calls break rather than degrade.",D1 Agentic Architecture & Orchestration
A response ends with a stop reason of max_tokens partway through emitting a tool call. What must the loop do?,multiple-choice,"Reissue the identical request with a higher token limit, discarding the partial turn without recording it.",,Append the partial turn and let the model finish the call on the following iteration of the loop.,,"Treat the turn as incomplete and decline to execute the truncated call, since its arguments may be partial.",,"Execute the call using the arguments received so far, since the tool name has already been determined.",,,,,,3,"A truncated tool call has arguments that may be incomplete or malformed, and executing it risks acting on a half-specified request. The stop reason is the signal that the turn cannot be trusted as issued. Retrying with more room is often the right recovery, but the non-negotiable part is not executing what arrived truncated.",D1 Agentic Architecture & Orchestration
A coordinator fans out twelve subagents simultaneously and begins receiving rate-limit errors. What is the design fix?,multiple-choice,Bound the number of concurrent requests so the fan-out fits within the throughput actually available.,,"Move the fan-out to a larger model tier, which is provisioned with a correspondingly higher request allowance.",,"Retry each rate-limited subagent immediately, since the condition is transient and clears on the next attempt.",,"Convert the fan-out into a sequential chain, which removes the errors by eliminating concurrent execution entirely.",,,,,,1,"Parallelism is bounded by the account's throughput, so a fan-out wider than the limit produces errors regardless of how the work is divided. Capping in-flight requests and queuing the rest keeps the parallelism gain. Immediate retries make the pressure worse, and serializing the whole fan-out gives up the reason for it.",D1 Agentic Architecture & Orchestration
Two subagents run in parallel and both write to the same output file. What does the architecture need?,multiple-choice,"A merge step after both complete, which reconciles whatever each of the two participants happened to produce.",,"A retry on whichever write fails, since one of the two will succeed and the other can simply be attempted again.",,"Partitioning the work by resource, so that no two participants ever own the same file at once.",,"Sequential execution of the two participants, which removes the overlap by ensuring only one is ever running.",,,,,,3,"Parallel delegation is safe when participants touch disjoint resources. Two agents owning one file is a design error rather than a runtime problem, and the fix is to assign each an exclusive region. Serializing works but discards the parallelism, and retrying or merging treats a preventable conflict as something to clean up afterwards.",D1 Agentic Architecture & Orchestration
A payment tool times out and the agent does not know whether the charge landed. What does the tool need?,multiple-choice,"A shorter timeout, so that the ambiguous window between success and failure is narrowed considerably.",,"A confirmation step, so the agent can check with the customer before any second attempt is made.",,"An idempotency key that the server deduplicates on, so a repeated call cannot charge the card twice.",,"A read-back call, so the agent can inspect the account and determine whether the first attempt succeeded.",,,,,,3,"An ambiguous timeout is the defining case for idempotency: the caller cannot distinguish a lost request from a lost response, so the retry must be made safe rather than avoided. A key that the server deduplicates on turns a second call into a no-op. Reading back is a reasonable supplement but races against the same uncertainty.",D1 Agentic Architecture & Orchestration
An agent produced a wrong answer in production three days ago. What must have been recorded for the run to be diagnosable?,multiple-choice,"The final response together with the user's original request, which bracket the behaviour that needs explaining.",,"Each iteration's tool calls, the arguments they carried, and what each one returned to the loop.",,"The model identifier and configuration in force, which determine how the request would have been interpreted.",,"The total number of iterations and tokens consumed, which indicate where the run departed from its normal profile.",,,,,,2,"An agent's behaviour lives in the sequence of decisions it made, so diagnosis needs the per-iteration record of what was called, with what arguments, and what returned. Endpoints, counters and configuration are all useful context, but none of them show the step at which the reasoning went wrong.",D1 Agentic Architecture & Orchestration
A team wants to reproduce a past agent run exactly and has the full transcript. What still defeats reproduction?,multiple-choice,"The ordering of parallel tool calls, which the interface does not preserve from one run to the next one.",,"The sampling temperature, which introduces variation that cannot be pinned to any fixed value across runs.",,"The system prompt, which is composed at request time and therefore differs across separate invocations.",,Tool results that depend on underlying data which has changed in the interval since the original run.,,,,,,4,"A transcript captures what the model saw, but a rerun re-executes tools against a world that has moved. The same query returns different rows, so the run diverges regardless of how the model is configured. Temperature can be fixed, ordering can be made deterministic, and a system prompt can be held constant.",D1 Agentic Architecture & Orchestration
A subagent is given the ability to spawn subagents of its own. What must the design bound?,multiple-choice,"The token budget of the topmost coordinator, which is what ultimately funds every descendant that is created.",,"The depth of delegation, since every additional level multiplies cost and further dilutes the context.",,"The wall-clock duration of the whole run, which is what any unbounded recursion will eventually exhaust first.",,"The number of tools available at each level, since a wider surface makes misrouting steadily more likely.",,,,,,2,"Recursive delegation compounds: each level pays its own coordination overhead and knows progressively less about the original request. A depth limit is the control that keeps the tree finite and the context meaningful. Tool breadth, budget and duration are real concerns but none of them prevent the tree from deepening.",D1 Agentic Architecture & Orchestration
What does a per-subagent token budget protect that a single overall run budget does not?,multiple-choice,The overall run cannot exceed the total that was originally allocated to it by the coordinating process.,,A single participant cannot consume the allowance that the others still need in order to finish their work.,,"The coordinator can determine, once the run finishes, which participant was responsible for the largest share.",,Each participant is guaranteed to complete its assigned work within the allocation it has been granted.,,,,,,2,"A single pooled budget is exhausted by whichever participant runs longest, starving the rest and producing a report with missing sections. Per-participant allocation isolates that failure. It does not guarantee any participant finishes, and attributing spend afterwards is a reporting matter rather than a protection.",D1 Agentic Architecture & Orchestration
