Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A B2B SaaS platform team is implementing the agentic loop for an account-support resolution agent. What should the loop check to decide whether to execute another tool or present the final response?,multiple-choice,Whether the assistant's text contains words that sound like a conclusion.,,"A fixed iteration cap, used as the primary mechanism for deciding when to stop.",,"The stop_reason value, continuing tool execution when it is ""tool_use"" and terminating when it is ""end_turn"".",,The elapsed wall-clock time since the loop began.,,,,,,3,"The agentic loop should branch on stop_reason: continue when it is ""tool_use"" and terminate when it is ""end_turn"". Parsing assistant text for conclusion-sounding language or using an iteration cap as the primary stop mechanism are documented anti-patterns.",D1 Agentic Architecture & Orchestration
"Between iterations of the agentic loop for a loan-support resolution agent, what must happen to a tool's output before the next call to Claude?",multiple-choice,It should be appended to the conversation history so Claude can reason about the next action using the new information.,,"It should be stored only in application logs, never sent back to the model.",,"It should be discarded, since Claude only needs the original user request to keep reasoning.",,It should be converted into a new system prompt that replaces the old one.,,,,,,1,Tool results are appended to the conversation history between iterations so the model can incorporate the new information into its reasoning about the next action.,D1 Agentic Architecture & Orchestration
A healthcare software team is deciding how a patient-support resolution agent should choose its next tool call. Which approach matches model-driven decision-making rather than a pre-configured tool sequence?,multiple-choice,Hard-coding a fixed order of tool calls that runs identically for every request.,,"Selecting the next tool using a lookup table keyed only on request type, ignoring intermediate results.",,Always calling every available tool in the same order regardless of what earlier results showed.,,Letting Claude reason about which tool to call next based on the current context at each step of the loop.,,,,,,4,"Model-driven decision-making means Claude reasons about which tool to call next based on context, as distinct from a pre-configured decision tree or fixed tool sequence.",D1 Agentic Architecture & Orchestration
An e-commerce platform team is designing a coordinator for a returns-support resolution agent that delegates to multiple specialized subagents. What architecture does this describe?,multiple-choice,A architecture where subagents automatically inherit the coordinator's full conversation history with no explicit handoff.,,A mesh architecture where every subagent communicates directly with every other subagent.,,A single flat agent with no coordinator or subagents at all.,,"A hub-and-spoke architecture where the coordinator manages all inter-subagent communication, error handling, and information routing.",,,,,,4,"Coordinator-subagent orchestration is a hub-and-spoke architecture: the coordinator manages inter-subagent communication, error handling, and routing, rather than subagents talking directly to each other or inheriting context automatically.",D1 Agentic Architecture & Orchestration
"A coordinator for an account-support resolution agent decomposes the impact of AI on enterprise software adoption into only ""AI in sales enablement,"" ""AI in customer onboarding,"" and ""AI in product analytics"", and each subagent completes its assigned piece successfully — yet the final report is missing renewals, support operations, and churn prediction. What is the most likely root cause?",multiple-choice,"The coordinator's task decomposition was too narrow, so the subagent assignments never covered the full breadth of the topic.",,The subagents are misbehaving and ignoring their assigned scope.,,The synthesis step has a bug that deletes valid findings at random.,,The tools available to the subagents are broken.,,,,,,1,"When every subagent executes its assigned task correctly but coverage is still incomplete, the root cause is almost always in the coordinator's decomposition — assigning too narrow a slice of the topic — not in the subagents' execution.",D1 Agentic Architecture & Orchestration
"A fintech company's platform team wants a loan-support resolution agent's coordinator to invoke only the subagents actually needed for a given request, rather than always running the full pipeline. What should the coordinator do?",multiple-choice,Invoke subagents in a fixed round-robin order unrelated to the query.,,Randomly select a subset of subagents to invoke each time.,,Analyze the query's requirements and dynamically select which subagents to invoke based on that analysis.,,"Always invoke every subagent for every request regardless of query complexity, for consistency.",,,,,,3,"A well-designed coordinator analyzes the query's actual requirements and dynamically selects which subagents are needed, rather than always routing through the full pipeline regardless of complexity.",D1 Agentic Architecture & Orchestration
A healthcare software team configures a coordinator agent for a patient-support resolution agent that must be able to spawn subagents. What must the coordinator's configuration include for this to work?,multiple-choice,"The Task tool included in the coordinator's allowedTools, since Task is the mechanism for spawning subagents.",,A larger max_tokens value on the coordinator's own configuration.,,A separate top-level API key dedicated only to subagent spawning.,,Nothing special — any agent can spawn subagents by default with no configuration.,,,,,,1,"The Task tool is the mechanism for spawning subagents, and a coordinator's allowedTools must include ""Task"" for it to be able to invoke subagents at all.",D1 Agentic Architecture & Orchestration
An e-commerce platform team assumes a subagent for a returns-support resolution agent will automatically have access to everything the coordinator has already discussed in the conversation. Is this assumption correct?,multiple-choice,"Subagents share memory with the coordinator, so no context passing is ever required.",,"Subagents inherit context only for the first message, then lose it.",,No — subagents operate with isolated context and do not automatically inherit the coordinator's conversation history; relevant context must be explicitly included in the subagent's prompt.,,Yes — subagents always inherit the full parent conversation history automatically.,,,,,,3,Subagents operate with isolated context. They do not automatically inherit the coordinator's conversation history — relevant findings must be explicitly included in the subagent's prompt.,D1 Agentic Architecture & Orchestration
A B2B SaaS platform team wants two subagents for an account-support resolution agent to explore divergent approaches starting from the same shared analysis baseline. Which mechanism supports this?,multiple-choice,Running both subagents in the exact same session with no separation at all.,,Deleting the session and starting two unrelated ones from scratch.,,"The isError flag, which is unrelated to session branching.",,"fork_session, which creates independent branches from a shared baseline to explore divergent approaches.",,,,,,4,"fork_session is the mechanism for creating independent branches from a shared analysis baseline, letting subagents explore divergent approaches without interfering with each other.",D1 Agentic Architecture & Orchestration
A fintech company's platform team wants a loan-support resolution agent's coordinator to run several independent subagent calls as quickly as possible instead of one at a time. How should the coordinator do this?,multiple-choice,Avoid the Task tool entirely and merge all subagents into one combined prompt.,,"Issue each Task tool call in its own separate turn, waiting for each subagent to finish before starting the next.",,"Emit multiple Task tool calls within a single coordinator response to spawn subagents in parallel, rather than issuing them one per turn across separate turns.",,Run subagents only in strict alphabetical order of their names.,,,,,,3,"Parallel subagent execution is achieved by emitting multiple Task tool calls in a single coordinator response, rather than spreading them one at a time across separate turns.",D1 Agentic Architecture & Orchestration
