Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A coordinator delegates by forwarding the entire conversation to each subagent. What does that give up?,multiple-choice,The coordinator's own record of what each subagent was asked to do during the run.,,"The ability to run the subagents concurrently, since they now share the same input.",,"The consistency between subagents, since each interprets the conversation differently.",,"The focused context that made delegation worth doing, along with its cost saving.",,,,,,4,"Delegation earns its cost by giving each participant a context sized to its own task. Forwarding everything pays the full history per subagent and dilutes the instruction that matters, which is the failure that makes multi-agent designs look expensive and vague. Constructing a specific brief per subagent is what the pattern requires.",D1 Agentic Architecture & Orchestration
A synthesis step cannot tell which subagent produced which finding. What must the handoff carry?,multiple-choice,"An ordering, so that findings arrive in the sequence they were produced.",,"A confidence score, so the synthesis can weight the findings it received.",,"A summary from each subagent, describing the work that it carried out.",,"Provenance on each finding, identifying its source and the basis for it.",,,,,,4,"A synthesis without provenance cannot resolve a conflict, cannot follow up, and cannot report what any conclusion rests on. Attaching the source and the supporting evidence to each finding is what makes the aggregation defensible. Ordering and self-reported confidence do not establish where a claim came from.",D1 Agentic Architecture & Orchestration
Two subagents return contradictory findings on the same point. What should the coordinator do?,multiple-choice,"Report the conflict with both sources, rather than selecting one silently.",,"Return both findings without comment, leaving the reader to reconcile them.",,Adopt the finding from whichever subagent had the more authoritative source.,,Run a third subagent on the same point and take the majority position.,,,,,,1,"A disagreement is a finding in itself, and resolving it invisibly hides the uncertainty from whoever acts on the report. Surfacing it with the evidence lets a reader judge. Majority voting can converge on a shared error, and presenting both without noting they conflict leaves the reader to discover the contradiction themselves.",D1 Agentic Architecture & Orchestration
An agent has been running for some time without making progress toward its objective. What should the design detect?,multiple-choice,"Repetition without change of state, and terminate rather than continue paying.",,"The elapsed time, and terminate once the run exceeds its expected duration.",,"The number of iterations, and terminate once the configured ceiling is reached.",,"The token consumption, and terminate once the run's budget has been exhausted.",,,,,,1,"A no-progress detector catches the specific pathology of an agent cycling between the same calls, which iteration and token ceilings only catch after the full budget is spent. Detecting that nothing has changed lets the run end early and report why. The ceilings remain as backstops rather than as the primary signal.",D1 Agentic Architecture & Orchestration
An agent runs code it has written. What does the design require of the environment?,multiple-choice,A restriction to a language whose behaviour is easier to reason about statically.,,"Isolation with bounded filesystem and network access, so the effect is contained.",,"A review step, so that any code is inspected by a person before it executes.",,"A record of everything executed, so any harmful effect can be traced afterwards.",,,,,,2,"Executing generated code is the case where containment has to be structural: a sandbox with a bounded filesystem, restricted network egress and resource limits. Review does not scale to an agent's iteration rate, language choice does not constrain effects, and an audit trail explains damage after it has occurred.",D1 Agentic Architecture & Orchestration
A change to a production agent's prompt is ready. What is the safest way to put it into service?,multiple-choice,"Deploy it during a quiet period, so any problem affects fewer requests.",,Route a portion of traffic to it and compare against the current version.,,Deploy it behind a flag that can be switched off if a problem is reported.,,Deploy it to all traffic and monitor closely for any sign of degradation.,,,,,,2,"A canary gives a live comparison on real traffic while limiting exposure, which is the only way to see the cases an evaluation set does not contain. A flag makes recovery fast without producing a comparison, and timing or monitoring a full deployment leaves the blast radius at one hundred percent.",D1 Agentic Architecture & Orchestration
A new agent version is run alongside the current one without its output being used. What does that establish?,multiple-choice,That it costs no more than the current version on the same workload.,,"How it behaves on real traffic, with no risk to what users receive.",,That it is faster than the current version under production conditions.,,That it will handle the traffic volume the current version handles.,,,,,,2,"Shadow running exercises the new version against the real input distribution while the existing one continues to serve, which surfaces behavioural differences safely. Latency, cost and capacity are all observable during it and are secondary to seeing what it would actually have produced.",D1 Agentic Architecture & Orchestration
An agent's end-to-end result is correct and one of its intermediate steps is wrong. What does that indicate about evaluation?,multiple-choice,End-to-end evaluation alone can pass a design whose steps are unreliable.,,"The steps compensate for one another, which is the intended behaviour.",,The end-to-end result is coincidental and should not be relied upon.,,The intermediate step is not material and simply does not require evaluation.,,,,,,1,"A correct outcome can survive a broken step through luck or through a later step's robustness, and the design will fail as soon as the conditions shift. Evaluating steps as well as outcomes is what surfaces that. Concluding the step does not matter, or that the result is worthless, both overreach from a single observation.",D1 Agentic Architecture & Orchestration
A human approval gate is reached and nobody responds. What must the design specify?,multiple-choice,How long the request may wait before it is escalated to a manager.,,"What happens when the gate times out, and which way it fails.",,"How the approver is reminded, so that the approval eventually arrives.",,"Who else may approve, so that the request is not blocked on one person.",,,,,,2,"An unanswered gate is a state the design has to have an answer for, and the answer is a choice: fail closed and abandon the work, or fail open and proceed. Both are defensible depending on the action's consequence, and neither should be discovered when the run hangs. Escalation and reminders manage the wait rather than resolving it.",D1 Agentic Architecture & Orchestration
A run must be abandoned while several subagents are still working. What does clean cancellation require?,multiple-choice,"Terminating the coordinator, since the subagents will stop when it is unavailable.",,"Waiting for the subagents to complete, then discarding the results they produced.",,"Recording that the run was cancelled, and so the results are ignored when they then arrive.",,"Propagating the cancellation to the in-flight work, not just abandoning the coordinator.",,,,,,4,"Subagents continue to consume budget and may continue to have effects unless they are told to stop, so cancellation has to reach them. Waiting for completion pays in full for work nobody will use, and assuming children stop when a parent exits is a property the design has to provide rather than one it gets for free.",D1 Agentic Architecture & Orchestration
