Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An agent loop terminates correctly in testing and occasionally runs on in production. What class of termination condition produces that?,multiple-choice,"One that depends on an iteration ceiling, which gets reached at different points on different runs.",,"One that depends on a tool returning a completion flag, which some tools omit under load.",,One that depends on the content of the response rather than on the field reporting why it stopped.,,"One that depends on elapsed time, which varies with how quickly the service responds.",,,,,,3,"Inferring completion from what the response says is unreliable precisely because the phrasing varies — it works until it does not, which is why it survives testing. Branching on the stop reason is deterministic. An iteration ceiling is a bound rather than a termination condition, and neither timing nor tool flags are the documented mechanism.",D1 Agentic Architecture & Orchestration
What guarantee does appending the assistant turn before the tool results provide?,multiple-choice,That parallel calls are recognised as parallel rather than as separate sequential turns.,,That the model processes the results in the same order the tools were invoked in.,,That each result has the call it answers present in the history to refer back to.,,That the conversation stays within the context budget the application has allocated.,,,,,,3,"Results reference their calls by identifier, so the turn containing those calls must be present or the reference resolves to nothing and the request fails validation. Ordering within the results is preserved regardless, parallelism is signalled by the results sharing one user message, and nothing about ordering affects the budget.",D1 Agentic Architecture & Orchestration
"A coordinator's report covers its topic unevenly, and every subagent's own output is sound. What follows about where to look?",multiple-choice,"At the subagents' tool access, since a missing capability would limit what they found.",,"At the synthesis step, since it is responsible for noticing that coverage is uneven.",,"At the coordinator's own model tier, since partitioning is the hardest reasoning in the run.",,"At how the work was partitioned, since sound execution of an incomplete brief produces this.",,,,,,4,"When every agent did its job correctly the fault is in what they were asked to do, which makes decomposition the place to look. The symptom appears downstream, which is what invites blaming agents that are behaving as instructed. Synthesis works from what it is given, and tier does not explain a correct execution of a narrow brief.",D1 Agentic Architecture & Orchestration
Why is an iteration ceiling described as a safety net rather than a termination condition?,multiple-choice,A ceiling applies to the whole run rather than to any individual step within it.,,A ceiling can be reached before the work begins if the initial steps are expensive.,,"A ceiling has to be tuned per task, which makes it unreliable as a general control.",,A loop ending only by hitting its ceiling has no idea whether the work was finished.,,,,,,4,"Bounding iterations is necessary and is the wrong primary stopping mechanism: a run that only ever ends at its ceiling gives no signal about completion, and one that terminates early leaves work undone silently. The stop reason is what indicates the task is actually done, with the cap catching runaway behaviour behind it.",D1 Agentic Architecture & Orchestration
A subagent is invoked with a summary of prior findings rather than the findings themselves. What is the consequence?,multiple-choice,"It works from a compressed account, and detail the parent judged unimportant is gone.",,"It fails validation, since a summary is not an accepted form of subagent context.",,"It requests the full findings, adding a round trip before it is able to begin its work.",,"It inherits the parent's history regardless, so the summary makes no practical difference.",,,,,,1,"Subagents receive only what their prompt carries, so a summary is the whole of what they know — and whatever the parent compressed away is unavailable, including caveats that would have changed the conclusion. Passing complete findings is the documented practice. There is no mechanism for requesting more and no inheritance to fall back on.",D1 Agentic Architecture & Orchestration
What does emitting several delegation calls in one response achieve that emitting them across turns does not?,multiple-choice,"The subagents share a context, so each sees what the others found.",,The subagents run concurrently rather than one after another.,,The coordinator's own reasoning is charged once rather than per turn.,,The results return in a defined order matching the calls that produced them.,,,,,,2,"Parallelism comes from issuing the calls together; spreading them across turns serializes work with no dependency between its parts. Contexts stay isolated either way, which is the point of delegation. Ordering is not guaranteed by either arrangement, and coordinator reasoning is charged per response regardless.",D1 Agentic Architecture & Orchestration
A coordinator prompt enumerates the searches each subagent should perform. What ceiling does that impose?,multiple-choice,"Subagent latency is capped, since the sequence is known before the run begins.",,"Subagent output is capped, since each search contributes a bounded amount of material.",,"Subagent cost is capped, since the enumerated searches bound how much work is done.",,Subagent usefulness is capped at whatever the prompt's author was able to anticipate.,,,,,,4,"Prescribing the procedure means a subagent handles anticipated queries and fails unanticipated ones, so its usefulness cannot exceed the author's foresight. Specifying goals and quality criteria instead lets it adapt. The bounds on cost, latency and output are real and are the price rather than the problem.",D1 Agentic Architecture & Orchestration
Which requirement makes a prompt instruction an inadequate control?,multiple-choice,That the rule is complex enough to require several sentences to state fully.,,That the rule applies to a financial operation rather than to a merely informational one.,,That the rule changes periodically and has to be kept current as policy moves.,,"That the rule must hold on every occasion, including when the model has been misled.",,,,,,4,"The dividing property is whether a guarantee is needed. A prompt is weighed against everything else in context and carries a non-zero failure rate, which is unacceptable where the rule must always hold. Subject matter, complexity and volatility all affect how the rule is written rather than whether text can enforce it.",D1 Agentic Architecture & Orchestration
What does a hook that normalizes tool results before the model sees them buy over instructing the model to handle varied formats?,multiple-choice,"Efficiency, since the normalized results consume fewer tokens than the originals did.",,"Determinism, since the transformation happens in code rather than being reasoned about.",,"Clarity, since the instruction no longer needs to describe each of the formats involved.",,"Coverage, since a hook can handle formats the model has not encountered previously.",,,,,,2,"Moving the transformation into a hook makes it deterministic and removes it from what the model has to reason about on every result. Prompt simplification and token savings are genuine secondary benefits. Coverage is not the distinction, since either approach handles only the formats it was built for.",D1 Agentic Architecture & Orchestration
An escalation handoff includes the full conversation transcript. Why is that the wrong artifact?,multiple-choice,It transfers the work of reading rather than the conclusion the recipient needs.,,It becomes stale as soon as the conversation continues after the handoff is sent.,,It exceeds the length a handoff message is permitted to carry to a human reviewer.,,It contains material the recipient may not be authorized to see in its entirety.,,,,,,1,"A structured handoff carries identifiers, the root cause established so far and a recommended action, so the recipient can act immediately. A transcript is activity rather than findings and makes the reader reconstruct the case. Authorization and staleness are real considerations that do not explain why the artifact is unsuitable.",D1 Agentic Architecture & Orchestration
