Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A coordinator's synthesis pass returns a report with two topic areas thinly covered. What should the coordinator do before presenting it?,multiple-choice,Present the report with a note saying that two areas were covered less thoroughly than the others.,,"Re-delegate to search and analysis with targeted queries, then re-invoke synthesis on the fuller set.",,Re-invoke synthesis alone with an instruction to expand the two areas that came out thin.,,Widen the original decomposition and restart the entire research run from the beginning again.,,,,,,2,"Iterative refinement means the coordinator evaluates synthesis output for gaps, re-delegates to the search and analysis subagents with targeted queries, and re-invokes synthesis until coverage is sufficient. Re-running synthesis alone cannot add information nobody gathered, and restarting discards work that was perfectly good.",D1 Agentic Architecture & Orchestration
Two research subagents are each given the whole topic and return heavily overlapping findings at twice the expected cost. What does the design need?,multiple-choice,"An explicit partition of scope, assigning each agent distinct subtopics or distinct source types.",,"A single agent instead, since two agents on one topic cannot avoid covering the same ground.",,"A shared record of what has been searched, which each agent consults before it issues a query.",,"A deduplication step in the coordinator, removing any findings that both agents happened to return.",,,,,,1,"Research scope is partitioned across subagents to minimize duplication, by assigning distinct subtopics or distinct source types to each. Deduplicating afterwards pays for the redundant work and then throws it away, and a shared search record introduces coordination between agents that hub-and-spoke deliberately routes through the coordinator.",D1 Agentic Architecture & Orchestration
A subagent type needs a narrower tool set and a different persona from its siblings. Where is that expressed?,multiple-choice,"In the coordinator's own prompt, which describes how each subagent ought to behave when it is invoked.",,"In the invocation itself, passing the persona and tool list as arguments at delegation time.",,"In that subagent's own definition, which carries its description, system prompt and tool restrictions.",,In a shared configuration file that every subagent reads at the start of its own invocation.,,,,,,3,"Subagent configuration — descriptions, system prompts and per-type tool restrictions — belongs in the agent definition, which is what makes each subagent type a reusable, reviewable unit. Describing intended behaviour in the coordinator's prompt is guidance rather than configuration, and it cannot restrict what tools the subagent actually holds.",D1 Agentic Architecture & Orchestration
An investigation was paused a week ago and the team wants to continue that specific conversation rather than begin again. What supports that?,multiple-choice,"Forking the session, which creates a branch continuing from where the investigation stopped.",,"Resuming by session name, which continues the particular prior conversation that was named.",,"Re-running the original prompt, since the agent will reconstruct the same context as before.",,Loading the transcript into a new session as an attachment for the agent to read through.,,,,,,2,"Named session resumption exists to continue a specific prior conversation across working sessions. Forking creates an independent branch, which is the mechanism for exploring divergent approaches rather than for picking one thread back up. Re-running the prompt repeats the work, and pasting a transcript is a manual approximation of what resumption does properly.",D1 Agentic Architecture & Orchestration
A team is deciding between resuming a session and starting fresh with an injected summary. What decides it?,multiple-choice,"Whether the task changed, since a new objective always warrants beginning a fresh session.",,"Whether the same engineer is continuing, since context transfers better within a single person's work.",,"Whether the session is older than a threshold, beyond which resumption becomes unreliable.",,"Whether the prior tool results are still valid, since stale results are worse than a clean summary.",,,,,,4,"Resume when the prior context is mostly valid; start fresh with an injected structured summary when the prior tool results are stale. That is the whole distinction, and it turns on the state of the results rather than elapsed time or who is working. Stale results look exactly as authoritative as fresh ones, which is what makes them dangerous.",D1 Agentic Architecture & Orchestration
"A design document describes an agent, and on inspection it enumerates the exact tool sequence to run for every input class. What should an architect call it?",multiple-choice,"An agent, since the model still selects the arguments for each of the tools that it is told to call.",,"A hybrid, since the sequence is fixed while the reasoning within each step remains open-ended.",,"An agent, since a sequence that can branch on input class is adapting to what it encounters.",,"A workflow, since the control flow is pre-configured rather than decided by the model at runtime.",,,,,,4,"The distinction is whether decisions are model-driven — the model reasoning about which tool to call next from context — or a pre-configured decision tree. An enumerated sequence per input class is the latter, whatever it is labelled. Naming it accurately matters because a workflow is cheaper, more testable and more reproducible, which are usually the properties the design actually wanted.",D1 Agentic Architecture & Orchestration
"An engineer proposes summarizing each tool result into a short note before appending it, to save context. What does this break?",multiple-choice,"The model reasons over the results themselves, so summarizing them removes what it needs to act on.",,"The result identifiers are lost during summarization, so the next request cannot be validated at all.",,The summarization call itself costs more than the tokens the shortened result would have saved.,,"Summaries cannot be appended as results, so the conversation shape becomes invalid immediately.",,,,,,1,"Tool results are appended to conversation history precisely so the model can reason about the next action from what the tools actually returned. Pre-summarizing decides in advance what mattered, which is the judgment the next iteration is supposed to make. Trimming genuinely irrelevant fields is legitimate; replacing the result with a summary is not the same thing.",D1 Agentic Architecture & Orchestration
"A coordinator receives a straightforward factual query and dispatches it through search, analysis, synthesis and reporting subagents as it does for every request. What is the cost?",multiple-choice,"Reduced accuracy, since every additional subagent introduces yet another opportunity for error.",,"Cache invalidation, since each subagent maintains a separate prefix that must be warmed.",,"Latency and tokens spent on subagents contributing nothing, since selection should follow the query.",,"Loss of provenance, since each handoff between the four agents discards some attribution.",,,,,,3,"The coordinator should analyze query requirements and dynamically select which subagents to invoke rather than always routing through the full pipeline. A simple factual query does not need analysis and synthesis stages, and running them spends latency and tokens for no contribution. The other effects are real properties of multi-agent systems but are not what this misconfiguration costs.",D1 Agentic Architecture & Orchestration
A synthesis subagent is invoked with a reference to where the earlier findings are stored rather than the findings themselves. What happens?,multiple-choice,"It fails validation, since a reference is not an accepted content type in a subagent prompt.",,"It receives them automatically, since findings from prior agents in the run are shared state.",,"It cannot see them, since a subagent receives only what its prompt contains at invocation.",,"It retrieves them itself, which costs an extra round trip but otherwise works as intended.",,,,,,3,"Subagents do not automatically inherit parent context or share memory between invocations, so complete findings from prior agents have to be included directly in the prompt. A reference points at something the subagent has no mechanism to follow, and there is no shared state to fall back on.",D1 Agentic Architecture & Orchestration
"An organization requires that a specific destructive tool can never execute unattended, whatever the model concludes. Where does that requirement live?",multiple-choice,"In the system prompt, expressed as an absolute prohibition that the model is told to honour.",,"In the agent definition, which omits the tool from the descriptions the model is shown.",,"In harness-enforced interception, which blocks the call regardless of the model's reasoning.",,"In the tool's description, warning that unattended execution of it is never permitted at all.",,,,,,3,"A requirement phrased as never, under any circumstances, needs a deterministic guarantee, and only harness enforcement provides one. Prompts and descriptions are text the model weighs against everything else in its context. Omitting a tool from a description while leaving it callable is worse than either, since it removes the guidance without removing the capability.",D1 Agentic Architecture & Orchestration
An open-ended request asks an agent to improve test coverage across an unfamiliar legacy service. How should the work be decomposed?,multiple-choice,"Ask the model for a complete plan before starting, and then execute that plan without any further changes.",,Enumerate every source file up front and generate a test for each one in a fixed sequential pass.,,"Map the structure first, identify high-impact areas, then form a plan that adapts as dependencies surface.",,"Generate tests for the files changed most recently, since those carry the highest present risk.",,,,,,3,"Open-ended tasks are decomposed by first mapping structure, identifying high-impact areas, then creating a prioritized plan that adapts as dependencies are discovered. A fixed enumeration treats an investigation as a known pipeline, recency is a proxy for risk rather than a measure of it, and a plan fixed before exploration cannot incorporate what exploration reveals.",D1 Agentic Architecture & Orchestration
"Subagents in a research system currently pass findings directly to one another, and error handling has become inconsistent and hard to observe. What does the architecture require?",multiple-choice,"A shared error-handling library each subagent imports, so their behaviour becomes consistent.",,A logging sidecar recording every message passed between subagents for later inspection and analysis.,,"Routing all subagent communication through the coordinator, which owns errors and information flow.",,A standard message envelope each subagent uses whenever it passes findings to another agent.,,,,,,3,"Hub-and-spoke exists so the coordinator manages all inter-subagent communication, error handling and information routing, which is what delivers observability and consistent recovery. A shared library standardizes formatting without centralizing who decides recovery, and logging observes a topology whose problem is that decisions are distributed.",D1 Agentic Architecture & Orchestration
A synthesis subagent receives 'three sources support the claim' with no indication of which sources or where the claim appeared. What does the handoff design need?,multiple-choice,"A structured format separating content from metadata, so source and location survive the hop.",,"A longer prose summary from the upstream agent, describing the sources alongside the claim.",,"A confidence score per claim, so that the synthesis agent can weight what it has been given.",,A rule that the synthesis agent re-fetches each source itself before it uses any claim received.,,,,,,1,"Structured formats separating content from metadata such as source URLs, document names and page numbers are what preserve attribution across a handoff. Prose loses structure at the next summarization step, re-fetching defeats the context isolation that motivated delegation, and a confidence number says nothing about provenance.",D1 Agentic Architecture & Orchestration
A business rule states that any operation above a value threshold must route to a human. The team asks whether to encode it in the prompt or in a hook. What settles it?,multiple-choice,Whether the model tier can apply a numeric comparison reliably against context it is given.,,"Whether the rule must hold every time, since only the hook makes compliance a guarantee.",,"Whether the operation is frequent, since interception overhead matters only at high volume.",,"Whether the threshold is expected to change, since the prompt is easier to keep up to date.",,,,,,2,"The choice between hooks and prompt-based enforcement turns on whether the business rule requires guaranteed compliance. Where it does, interception is the only mechanism that provides it, because a prompt instruction is weighed rather than executed. Maintainability, frequency and model capability are genuine considerations that do not change which mechanism can guarantee the rule.",D1 Agentic Architecture & Orchestration
